"cc";"name";"domain";"url";"ori_amp_url";"amp_viewer_url";"amp_cdn_url"
"US";"Sentinel";"em.gmnews.com";"http://em.gmnews.com//business/examiner-business-briefs-aug/article_e96ce883-5d6e-5f59-9861-3518c830ec2d.html";NULL;NULL;NULL
"US";"Sentinel";"em.gmnews.com";"http://em.gmnews.com//health/health-matters-a-mini-stroke-may-be-a-warning-sign/article_ea09f50b-5c48-5c09-83f3-0c6ac1268994.html";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/noticia/44/h-25-anos-silvio-santos-criava-tele-sena-para-salvar-sbt-da-falncia";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/noticia/157/manso-de-cabral-e-adriana-ancelmo-em-mangaratiba-ser-leiloada-em-setembro-";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/noticia/160/quadrilha-invade-aeroporto-e-tenta-resgatar-avio-que-foi-interceptado-pela-fab-e-apreendido-com-250-kg-de-cocana-em-mt";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/galeria/5/simone-e-simaria-gravam-clipe-com-anitta-em-so-paulo";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/noticia/165/adolescente-detido-com-dois-rdios-de-comunicao-em-barra-do-garas";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/noticia/113/tite-vive-sob-tenso-pela-primeira-vez-no-comando-da-seleo";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/galeria/7/circuito-putz-de-mountain-bike-agitou-pontal-do-araguaia-nesse-domingo-";NULL;NULL;NULL
"BR";"Folha do Araguaia";"folhadoaraguaia.com.br";"https://www.folhadoaraguaia.com.br/noticia/168/assaltante-morre-em-confronto-com-a-polcia-em-mato-grosso-aps-roubar-de-uma-madeireira-r-100-mil-reais-em-um-celular-com-rastreador";NULL;NULL;NULL
"BR";"Popular";"www.popularonline.com.br";"https://www.popularonline.com.br/artigo/proibida-a-entrada-de-menores-desacompanhados-na-festa-do-peao-de-araputanga";NULL;NULL;NULL
"BR";"Popular";"www.popularonline.com.br";"https://www.popularonline.com.br/artigo/prefeitos-e-vereadores-da-regiao-oeste-declaram-apoio-a-candidatura-de-lair-mota";NULL;NULL;NULL
"CL";"La Discusion";"www.ladiscusion.cl";"http://www.ladiscusion.cl/detalle/1337466/Papa-defiende-descanso-dominical-y-critica-sociedad-de-la-diversión\"\"";NULL;NULL;NULL
"CL";"La Discusion";"www.ladiscusion.cl";"http://www.ladiscusion.cl/detalle/1337496/La-Piñericosa\"-histórica-del-presidente-en-Chillán\"";NULL;NULL;NULL
"CL";"La Opinon";"www.laopinon.cl";"http://www.laopinon.cl//noticia/economia/asociacion-de-emprendedores-de-chile-abre-las-postulaciones-para-la-eleccion-de-dir";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/gambia-denies-permit-to-celebrate-july-1994-coup-of-infamy-death-and-blanket-barbarity/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/u-s-treasury-accuses-yaya-jammehs-closest-business-partner-mohammad-bazzi-of-global-terrorism/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/gambia-temperance-not-tribalism-will-see-us-through-in-peace-and-fraternity/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/sra-international-names-gambian-elizabeth-stanley-winner-of-annual-best-paper-award/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/the-gambia-in-retrospect-how-yahya-jammeh-destroyed-the-economy/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/edward-singhateh-yankuba-touray-and-afprc-junta-should-be-held-accountable/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/personnel-is-policy-bad-choices-at-ministries-of-agriculture-and-tourism/";NULL;NULL;NULL
"GM";"Gambia Echo";"www.thegambiaecho.com";"http://thegambiaecho.com/the-trans-gambia-bridge-a-significant-contributor-to-gambias-economics-development/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2016/12/14/open-letter-gambias-vice-president-and-ministers/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2016/04/14/human-rights-are-not-a-privilege-but-a-right-for-all-gambians/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/08/31/gambias-constitutional-review-commission-to-embark-on-massive-public-consultation/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2016/06/06/gambia-editorial-tribalism-is-a-no-go-area/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/08/19/gambia-government-clarifies-the-11-million-presidential-gift/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/08/31/gambias-central-bank-leaves-interest-rate-unchanged-at-13-50-percent/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/09/04/china-to-extend-over-60billion-financing-support-to-africa/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/09/04/gambia-a-very-long-open-letter-to-president-barrow/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/09/04/gambias-police-force-gets-new-media-officer/";NULL;NULL;NULL
"GM";"Jollof News";"www.jollofnews.com";"https://jollofnews.com/2018/07/25/200-million-power-project-jarra-kiang-to-be-electrified/";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm//africa/gambia/article/august-is-the-worldwide-awareness-about-the-violence-against-children";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm/africa/gambia/article/interior-minister-unveils-plans-to-minimize-road-accidents";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm/africa/gambia/article/modoustic-sports-pr-invited-to-densu-talent-search-in-ghana";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm/africa/gambia/article/la-cooperation-entre-la-gambie-et-lunion-europeenne-prend-de-lampleur";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm/africa/gambia/article/prisoners-hold-guards-hostage-at-mile-ii";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm//africa/gambia/article/jazz-appreciation-cannonball-adderly-the-unnoticed-saxophonist-1";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm//africa/gambia/article/tawto-fire20-fires-blank-in-tawto-nawettan";NULL;NULL;NULL
"GM";"Point";"thepoint.gm";"http://thepoint.gm/africa/gambia/article/nema-youth-real-de-sanchaba-shares-booty-in-sukuta-nawettan";NULL;NULL;NULL
